cgpa,package
6.69,1.58
9.28,3.09
8.29,2.29
7.69,2.77
5.7,3.77
5.7,2.12
5.26,2.53
8.9,3.39
7.71,2.07
8.19,1.69
5.09,2.22
9.36,1.9
8.75,3.82
5.96,3.52
5.82,3.08
5.83,3.68
6.37,3.51
7.36,1.97
6.94,3.73
6.31,2.85
7.75,3.52
5.63,3.74
6.31,2.3
6.65,1.78
7.05,2.07
8.53,2.57
5.9,3.55
7.31,3.65
7.67,1.52
5.21,2.78
7.73,2.54
5.77,2.06
5.29,1.8
9.27,2.34
9.35,3.86
8.64,2.31
6.37,2.8
5.44,3.26
8.08,2.41
6.98,3.93
5.55,3.91
7.23,2.13
5.15,2.74
9.09,2.25
6.16,2.21
7.98,1.59
6.4,3.02
7.34,2.76
7.46,1.63
5.83,2.2
9.36,3.77
8.49,2.1
9.23,1.86
9.03,2.72
7.69,3.96
9.15,2.11
5.4,3.18
5.88,3.4
5.2,2.09
6.46,3.32
6.75,2.42
6.22,3.08
8.73,3.08
6.61,2.84
6.26,1.73
7.44,3.59
5.63,2.3
8.61,1.97
5.34,1.6
9.44,2.98
8.48,3.19
5.89,1.54
5.02,2.78
8.67,2.07
8.18,3.11
8.28,1.94
8.47,3.23
5.33,2.47
6.61,3.84
5.52,1.84
8.88,2.35
7.8,1.78
6.49,3.81
5.29,3.69
6.4,2.14
6.46,3.15
8.28,3.54
7.87,2.89
8.99,2.82
7.12,2.1
5.54,1.73
8.21,3.74
8.42,3.75
7.53,3.08
8.47,2.35
7.22,2.37
7.35,3.31
6.92,3.74
5.11,3.72
5.49,3.45
